,,Missing,Overall
n,,,17062
"Age, years",,0,72.0 (5.7)
"BMI, kg/m²",,3,26.2 (5.0)
"Weight, lbs",,3,156.0 (31.5)
"Height, inches",,0,64.6 (2.4)
Race/ethnicity,American Indian,,34 (0.2)
Race/ethnicity,Asian/Pacific Islander,,201 (1.2)
Race/ethnicity,Black,,153 (0.9)
Race/ethnicity,Hispanic,,261 (1.5)
Race/ethnicity,Other,,20 (0.1)
Race/ethnicity,Unknown,,138 (0.8)
Race/ethnicity,White,,16255 (95.3)
Education level,College graduate,,4430 (26.0)
Education level,Doctoral/professional degree,,957 (5.6)
Education level,High school graduate,,1805 (10.6)
Education level,Less than high school,,1566 (9.2)
Education level,Master's degree,,3042 (17.8)
Education level,Some college,,4989 (29.2)
Education level,Unknown,,273 (1.6)
Smoking status,Current,,611 (3.6)
Smoking status,Never,,8585 (50.3)
Smoking status,Past,,7865 (46.1)
Smoking status,Unknown,,1 (0.0)
Alcohol intake,Daily,,2692 (15.8)
Alcohol intake,Monthly,,1679 (9.8)
Alcohol intake,Rarely/never,,6506 (38.1)
Alcohol intake,Unknown,,7 (0.0)
Alcohol intake,Weekly,,6178 (36.2)
General health,Excellent,,4187 (24.5)
General health,Fair/poor,,449 (2.6)
General health,Good,,3903 (22.9)
General health,Unknown,,4 (0.0)
General health,Very good,,8519 (49.9)
History of hypertension,0,,5386 (31.6)
History of hypertension,1,,11676 (68.4)
Depression,0,,14365 (84.2)
Depression,1,,2697 (15.8)
SF-12: Moderate activities,1.0,,931 (5.5)
SF-12: Moderate activities,2.0,,3694 (21.7)
SF-12: Moderate activities,3.0,,11664 (68.4)
SF-12: Moderate activities,None,,773 (4.5)
SF-12: Pain interference,1.0,,7605 (44.6)
SF-12: Pain interference,2.0,,4931 (28.9)
SF-12: Pain interference,3.0,,2102 (12.3)
SF-12: Pain interference,4.0,,926 (5.4)
SF-12: Pain interference,5.0,,154 (0.9)
SF-12: Pain interference,None,,1344 (7.9)
SF-12: Energy level,1.0,,1135 (6.7)
SF-12: Energy level,2.0,,6631 (38.9)
SF-12: Energy level,3.0,,4251 (24.9)
SF-12: Energy level,4.0,,3000 (17.6)
SF-12: Energy level,5.0,,975 (5.7)
SF-12: Energy level,6.0,,293 (1.7)
SF-12: Energy level,None,,777 (4.6)
SF-12: Felt downhearted,1.0,,139 (0.8)
SF-12: Felt downhearted,2.0,,158 (0.9)
SF-12: Felt downhearted,3.0,,399 (2.3)
SF-12: Felt downhearted,4.0,,1739 (10.2)
SF-12: Felt downhearted,5.0,,5827 (34.2)
SF-12: Felt downhearted,6.0,,8000 (46.9)
SF-12: Felt downhearted,None,,800 (4.7)
SF-12: Social activity interference,1.0,,109 (0.6)
SF-12: Social activity interference,2.0,,274 (1.6)
SF-12: Social activity interference,3.0,,1263 (7.4)
SF-12: Social activity interference,4.0,,2149 (12.6)
SF-12: Social activity interference,5.0,,12369 (72.5)
SF-12: Social activity interference,None,,898 (5.3)
SF-12: Cut time on work,1.0,,2307 (13.5)
SF-12: Cut time on work,2.0,,13987 (82.0)
SF-12: Cut time on work,None,,768 (4.5)
"Physical activity, MET-hr/wk",,143,"16.2 [6.0,30.0]"
Usual walking pace,,177,2.8 (1.0)
"Follow-up, years",,0,"8.9 [8.0,9.9]"
