,,Grouped by PD status,Grouped by PD status,Grouped by PD status,Grouped by PD status,Grouped by PD status,Grouped by PD status
,,Missing,Overall,Incident PD,No PD,"SMD (Incident PD,No PD)",P-Value
n,,,17062,198,16864,,
"Age, years",,0,72.0 (5.7),72.5 (5.3),72.0 (5.7),-0.095,0.170
"BMI, kg/m²",,3,26.2 (5.0),26.0 (4.9),26.2 (5.0),0.050,0.483
"Weight, lbs",,3,156.0 (31.5),155.6 (31.0),156.0 (31.5),0.012,0.861
"Height, inches",,0,64.6 (2.4),64.8 (2.4),64.6 (2.4),-0.090,0.203
Race/ethnicity,American Indian,,34 (0.2),1 (0.5),33 (0.2),0.240,0.373
Race/ethnicity,Asian/Pacific Islander,,201 (1.2),2 (1.0),199 (1.2),,
Race/ethnicity,Black,,153 (0.9),0 (0.0),153 (0.9),,
Race/ethnicity,Hispanic,,261 (1.5),0 (0.0),261 (1.5),,
Race/ethnicity,Other,,20 (0.1),0 (0.0),20 (0.1),,
Race/ethnicity,Unknown,,138 (0.8),1 (0.5),137 (0.8),,
Race/ethnicity,White,,16255 (95.3),194 (98.0),16061 (95.2),,
Education level,College graduate,,4430 (26.0),53 (26.8),4377 (26.0),0.186,0.440
Education level,Doctoral/professional degree,,957 (5.6),9 (4.5),948 (5.6),,
Education level,High school graduate,,1805 (10.6),16 (8.1),1789 (10.6),,
Education level,Less than high school,,1566 (9.2),15 (7.6),1551 (9.2),,
Education level,Master's degree,,3042 (17.8),35 (17.7),3007 (17.8),,
Education level,Some college,,4989 (29.2),69 (34.8),4920 (29.2),,
Education level,Unknown,,273 (1.6),1 (0.5),272 (1.6),,
Smoking status,Current,,611 (3.6),4 (2.0),607 (3.6),0.116,0.521
Smoking status,Never,,8585 (50.3),95 (48.0),8490 (50.3),,
Smoking status,Past,,7865 (46.1),99 (50.0),7766 (46.1),,
Smoking status,Unknown,,1 (0.0),0 (0.0),1 (0.0),,
Alcohol intake,Daily,,2692 (15.8),41 (20.7),2651 (15.7),0.165,0.251
Alcohol intake,Monthly,,1679 (9.8),14 (7.1),1665 (9.9),,
Alcohol intake,Rarely/never,,6506 (38.1),69 (34.8),6437 (38.2),,
