,Feature,Gain
30,first_fall_pre,57.939247131347656
11,SF12_lifting,29.045692443847656
0,ageaccel,20.0086669921875
1,bmi,15.848531723022461
13,SF12_cut_time,15.67768669128418
10,SF12_modact,14.716621398925781
2,weight,12.985451698303223
9,SF12_vigact,11.716150283813477
14,SF12_limitedwork,10.814204216003418
15,SF12_emot_accless,10.066553115844727
29,genhealth,9.678778648376465
16,SF12_pain,9.677530288696289
31,n_falls_pre,9.66374683380127
5,had_jointyrs_time,7.536628723144531
25,walking,7.366859436035156
12,SF12_walkmile,7.187758445739746
17,SF12_felt_calm,7.085299491882324
3,heightbs,6.1764092445373535
26,lifting,5.753471374511719
6,total_steps_norm,5.537654876708984
8,sit_hometv,5.4044647216796875
28,othrexer,5.028199195861816
18,SF12_felt_down,5.019388675689697
19,tmethrst,4.955225467681885
7,hearing_loss_expos,4.751303672790527
20,walkpace,4.604618072509766
22,jogging,4.459628105163574
32,had_parkyrs_time,4.310293197631836
4,EDUC,4.181087493896484
21,biking,4.121123313903809
23,swim,4.098916530609131
24,aerobic,3.867894411087036
27,lowexer,3.461343765258789
