,Feature,Gain
21,SF12_walkblock,500.90069580078125
20,SF12_walkblocks,178.66943359375
19,SF12_walkmile,92.14717102050781
24,SF12_not_careful,79.07877349853516
1,ageaccel,71.21968078613281
10,total_steps_norm,70.22099304199219
16,SF12_modact,57.51631164550781
30,SF12year,52.84849166870117
23,SF12_limitedwork,45.3607063293457
17,SF12_lifting,35.3203125
22,SF12_bath,24.37417984008789
43,smoke,15.530177116394043
2,bmi,11.813385963439941
15,SF12_vigact,11.108809471130371
29,SF12_soc_act,10.36213493347168
42,genhealth,9.911510467529297
8,had_strokeyears_time,8.619112968444824
28,SF12_felt_down,7.603235244750977
14,sithome,7.201464653015137
4,weight,7.034329414367676
3,histhtn,7.019992828369141
39,walking,6.970187664031982
33,stairclimb,6.85878324508667
13,sit_hometv,6.753348350524902
34,running,6.657173156738281
0,RACE,6.45443868637085
7,had_jointyrs_time,6.388674736022949
31,tmethrst,6.1445841789245605
27,SF12_energy,6.139602184295654
40,lowexer,6.042342185974121
6,EDUC,5.995471000671387
36,jogging,5.98381233215332
44,first_fall_pre,5.639763355255127
5,heightbs,5.345749855041504
11,hearing_trouble,5.259693622589111
37,swim,5.084092617034912
18,SF12_bending,4.988742351531982
9,had_tiayrs_time,4.98242712020874
45,had_parkyrs_time,4.956356525421143
25,SF12_pain,4.905170917510986
41,othrexer,4.752346038818359
12,sit_work,4.644620418548584
35,biking,4.17833137512207
38,aerobic,4.0734429359436035
26,SF12_felt_calm,4.023987770080566
32,walkpace,3.5680387020111084
