,Feature,Gain
7,SF12_walkmile,22.893972396850586
0,ageaccel,20.774477005004883
8,SF12_walkblock,16.99386978149414
14,tmethrst,15.21434497833252
12,SF12_not_careful,11.34465217590332
10,SF12_phys_accless,9.824600219726562
2,histhtn,8.377533912658691
5,total_steps_norm,6.984023094177246
15,aerobic,6.9513397216796875
6,SF12_modact,6.705859661102295
9,SF12_cut_time,6.626108646392822
13,SF12_felt_calm,6.436221122741699
1,bmi,5.8063178062438965
11,SF12_emot_accless,4.926930904388428
16,lowexer,4.709186553955078
4,had_jointyrs_time,4.678053379058838
3,weight,3.780301570892334
