,Feature,Gain
0,ageaccel,25.495052337646484
11,SF12_phys_accless,21.11054801940918
6,SF12_modact,17.889944076538086
10,SF12_cut_time,14.218432426452637
9,SF12_bending,11.348729133605957
4,hearing_trouble,10.456221580505371
2,histhtn,10.37450885772705
7,SF12_lifting,10.099899291992188
16,swim,9.881872177124023
3,total_steps_norm,9.683512687683105
12,SF12_pain,9.445300102233887
13,SF12_felt_calm,9.010964393615723
8,SF12_climbsev,6.9892754554748535
15,biking,6.886384963989258
1,bmi,6.826568126678467
5,sit_hometv,6.285876274108887
14,tmethrst,5.600672721862793
