,Feature,Gain
13,SF12_cut_time,9.70038890838623
17,SF12_energy,8.774726867675781
18,SF12_felt_down,8.26341438293457
19,SF12_soc_act,6.860018253326416
26,first_fall_pre,6.816352367401123
25,alcuse,6.377848148345947
11,SF12_vigact,6.300503730773926
0,ageaccel,6.269425868988037
15,SF12_not_careful,5.994068622589111
24,othrexer,5.791214466094971
21,jogging,5.1971964836120605
1,bmi,4.912184715270996
8,sit_work,4.900547504425049
3,weight,4.812668800354004
16,SF12_pain,4.684542179107666
4,heightbs,4.626481056213379
10,sithome,4.60210657119751
22,aerobic,4.570183753967285
5,EDUC,4.567940711975098
6,total_steps_norm,4.506749629974365
14,SF12_limitedwork,4.454822540283203
20,tmethrst,4.348021030426025
12,SF12_modact,4.310067176818848
2,histhtn,4.128109931945801
9,sit_hometv,4.116246223449707
23,walking,3.6578047275543213
7,hearing_loss_expos,3.649071455001831
