,Feature,Gain
6,had_jointyrs_time,50.438026428222656
18,SF12_bending,48.72500228881836
25,SF12_pain,32.98119354248047
3,weight,30.17214012145996
19,SF12_walkmile,22.38803482055664
34,biking,16.891464233398438
4,heightbs,10.932092666625977
15,SF12_vigact,10.476840019226074
37,aerobic,10.433707237243652
9,total_steps_norm,10.403294563293457
36,swim,10.048638343811035
35,jogging,9.471415519714355
28,SF12_felt_down,9.342885971069336
2,bmi,9.252803802490234
41,othrexer,8.843985557556152
32,stairclimb,8.50536060333252
1,ageaccel,8.353036880493164
39,lifting,8.188179969787598
30,tmethrst,8.02211856842041
40,lowexer,7.941943645477295
11,hearing_trouble,7.5709381103515625
33,running,7.052760124206543
5,EDUC,7.0428314208984375
38,walking,7.040826320648193
26,SF12_felt_calm,6.825746536254883
23,SF12_limitedwork,6.752280235290527
21,SF12_walkblock,6.734748363494873
44,first_fall_pre,6.192241668701172
42,genhealth,6.190819263458252
27,SF12_energy,6.113317489624023
16,SF12_modact,6.03521728515625
29,SF12year,5.962821006774902
13,sit_hometv,5.878360271453857
12,sit_work,5.871933937072754
14,sithome,5.742711067199707
0,RACE,5.720310688018799
43,alcuse,5.577037334442139
8,had_tiayrs_time,5.538090229034424
20,SF12_walkblocks,5.50778865814209
17,SF12_climbone,5.233695983886719
22,SF12_bath,5.170886993408203
7,had_strokeyears_time,5.05977725982666
46,had_parkyrs_time,4.721307277679443
31,walkpace,4.401313781738281
45,n_falls_pre,4.304783344268799
24,SF12_diff_work,3.9724295139312744
10,n_days_wear,3.427781105041504
