,Feature,Gain
10,SF12_bending,78.1402359008789
6,had_jointyrs_time,56.84993362426758
12,SF12_pain,40.14460754394531
3,weight,36.64396286010742
11,SF12_walkmile,26.385021209716797
40,Path_percentile_99,24.141460418701172
27,MedianX_MAD_percentile_95,22.528671264648438
34,MedianDistance_percentile_95,21.658475875854492
8,SF12_vigact,18.11772918701172
2,bmi,15.902520179748535
17,biking,15.645299911499023
4,heightbs,15.415388107299805
73,FrequencyDispersion_percentile_99,15.211542129516602
19,swim,14.435824394226074
70,FrequencyDispersion_percentile_15,14.42151927947998
21,lifting,14.168790817260742
38,Path_percentile_85,13.584238052368164
76,ExplainedVar_PC2_percentile_5,13.539262771606445
13,SF12_felt_calm,13.416698455810547
60,F95_stds,13.180529594421387
51,MedianFrequency_percentile_85,12.894073486328125
5,EDUC,12.707947731018066
56,PWR_percentile_95,12.522205352783203
14,SF12_felt_down,12.499175071716309
58,F50_percentile_50,12.405413627624512
39,Path_percentile_95,12.271126747131348
57,PWR_percentile_99,11.973149299621582
32,MedianZ_MAD_percentile_95,11.913871765136719
36,RMS_percentile_15,11.868136405944824
64,F95_percentile_99,11.657978057861328
28,MedianX_MAD_percentile_99,11.629071235656738
16,stairclimb,11.430669784545898
22,lowexer,11.275632858276367
81,ExplainedVar_PC3_percentile_15,11.198227882385254
44,RangeA_percentile_99,11.189109802246094
53,PWR_means,11.103656768798828
63,F95_percentile_95,11.027111053466797
77,ExplainedVar_PC2_percentile_15,10.916203498840332
55,PWR_percentile_50,10.87412166595459
85,n_winds_norm,10.705288887023926
59,F50_percentile_95,10.545886993408203
80,ExplainedVar_PC3_means,10.393150329589844
30,MedianZ_MAD_percentile_5,10.314034461975098
42,Area_percentile_85,10.170356750488281
65,CentroidFrequency_percentile_5,10.090311050415039
78,ExplainedVar_PC2_percentile_50,10.071261405944824
24,genhealth,9.967172622680664
66,CentroidFrequency_percentile_15,9.945123672485352
62,F95_percentile_50,9.942634582519531
23,othrexer,9.91633129119873
7,total_steps_norm,9.904751777648926
1,ageaccel,9.903432846069336
75,ExplainedVar_PC2_stds,9.893651962280273
71,FrequencyDispersion_percentile_50,9.800453186035156
50,MedianFrequency_percentile_15,9.675006866455078
15,tmethrst,9.669485092163086
29,MedianZ_MAD_means,9.649809837341309
49,MedianFrequency_percentile_5,9.646407127380371
37,Path_stds,9.515887260437012
20,walking,9.384305953979492
33,MedianZ_MAD_percentile_99,9.378240585327148
86,mean_std_spm,9.350247383117676
68,CentroidFrequency_percentile_99,9.318439483642578
18,jogging,9.316795349121094
45,RangeB_percentile_5,9.299210548400879
0,RACE,9.219812393188477
31,MedianZ_MAD_percentile_15,9.11082649230957
69,FrequencyDispersion_stds,9.109943389892578
54,PWR_stds,8.923312187194824
41,Area_stds,8.853227615356445
79,ExplainedVar_PC2_percentile_95,8.647476196289062
74,ExplainedVar_PC1_percentile_5,8.448996543884277
43,RangeA_percentile_5,8.418791770935059
82,ExplainedVar_PC3_percentile_50,8.388665199279785
9,SF12_modact,8.349018096923828
72,FrequencyDispersion_percentile_85,8.32326889038086
47,MedianFrequency_means,8.310483932495117
35,MedianDistance_percentile_99,8.29562759399414
25,alcuse,8.150040626525879
67,CentroidFrequency_percentile_95,8.148788452148438
48,MedianFrequency_stds,7.940883636474609
26,MedianX_MAD_percentile_15,7.937780857086182
84,ExplainedVar_PC3_percentile_99,7.817273139953613
52,MedianFrequency_percentile_99,7.723821640014648
61,F95_percentile_5,7.67097282409668
83,ExplainedVar_PC3_percentile_95,7.615752696990967
46,RangeB_percentile_50,6.812480449676514
