,Feature,Gain
16,first_fall_pre,76.79795837402344
8,SF12_lifting,48.12858963012695
17,n_falls_pre,38.5847282409668
10,SF12_cut_time,32.654136657714844
0,ageaccel,28.70840072631836
14,SF12_soc_act,21.375032424926758
1,bmi,20.705177307128906
6,SF12_vigact,18.710285186767578
11,SF12_limitedwork,18.22390365600586
39,FrequencyDispersion_percentile_85,17.472917556762695
38,FrequencyDispersion_percentile_50,15.094253540039062
2,weight,14.220529556274414
40,FrequencyDispersion_percentile_95,14.051041603088379
7,SF12_modact,13.889437675476074
28,Area_stds,13.461746215820312
25,MedianDistance_percentile_15,13.089438438415527
12,SF12_pain,12.996271133422852
22,MedianZ_MAD_percentile_15,12.588726043701172
18,MedianX_MAD_stds,12.05780029296875
31,F50_percentile_5,11.968984603881836
9,SF12_climbsev,11.102151870727539
13,SF12_felt_calm,10.877374649047852
42,ExplainedVar_PC2_percentile_5,10.377214431762695
20,MedianX_MAD_percentile_15,9.878331184387207
29,RangeA_stds,9.867911338806152
36,CentroidFrequency_percentile_5,9.818222045898438
34,F95_percentile_15,9.713897705078125
44,ExplainedVar_PC2_percentile_85,9.668672561645508
35,CentroidFrequency_means,9.573314666748047
45,ExplainedVar_PC3_percentile_5,9.45309829711914
5,total_steps_norm,9.191389083862305
4,had_jointyrs_time,9.133960723876953
23,MedianZ_MAD_percentile_85,8.916091918945312
19,MedianX_MAD_percentile_5,8.607187271118164
15,genhealth,8.535958290100098
21,MedianZ_MAD_percentile_5,8.505105018615723
43,ExplainedVar_PC2_percentile_15,8.462523460388184
3,heightbs,8.315030097961426
30,MedianFrequency_stds,8.022622108459473
26,Path_stds,7.921834945678711
33,F95_percentile_5,7.734299659729004
32,F95_means,7.689426422119141
41,ExplainedVar_PC1_percentile_50,7.595231056213379
46,mean_std_spm,7.46580696105957
24,MedianDistance_percentile_5,7.350118637084961
27,Path_percentile_99,7.266435623168945
37,CentroidFrequency_percentile_99,7.204411506652832
