,Feature,Gain
64,PWR_percentile_99,24.97881317138672
50,RangeA_percentile_95,24.1464786529541
46,Area_percentile_95,19.569143295288086
36,MedianDistance_percentile_99,17.12845802307129
61,PWR_means,15.36929702758789
77,CentroidFrequency_percentile_5,11.568968772888184
47,RangeA_stds,11.408465385437012
14,SF12_felt_down,11.278982162475586
62,PWR_stds,10.97958755493164
55,MedianFrequency_stds,9.526233673095703
82,CentroidFrequency_percentile_99,9.16926097869873
44,Area_stds,8.795741081237793
66,F50_stds,8.460412979125977
9,SF12_cut_time,8.310791015625
78,CentroidFrequency_percentile_15,8.154903411865234
26,MedianX_MAD_percentile_99,8.14932918548584
12,SF12_felt_calm,8.136272430419922
56,MedianFrequency_percentile_5,8.12667179107666
13,SF12_energy,8.10295581817627
106,mean_spm,8.098870277404785
89,FrequencyDispersion_percentile_95,7.965626239776611
58,MedianFrequency_percentile_50,7.929971218109131
90,FrequencyDispersion_percentile_99,7.733923435211182
31,MedianZ_MAD_percentile_85,7.4993205070495605
103,ExplainedVar_PC3_percentile_85,7.488047122955322
43,Path_percentile_99,7.176424503326416
10,SF12_phys_accless,7.01819372177124
28,MedianZ_MAD_stds,6.966407299041748
38,RMS_percentile_95,6.84710168838501
108,sem_spm,6.837291717529297
73,F95_percentile_85,6.827189922332764
86,FrequencyDispersion_percentile_15,6.728664398193359
74,F95_percentile_95,6.695544719696045
96,ExplainedVar_PC2_percentile_5,6.654416561126709
72,F95_percentile_50,6.642782211303711
7,SF12_bending,6.503664493560791
52,RangeB_stds,6.467691898345947
102,ExplainedVar_PC3_percentile_50,6.412625312805176
32,MedianZ_MAD_percentile_95,6.408418655395508
33,MedianZ_MAD_percentile_99,6.404557704925537
75,F95_percentile_99,6.376863956451416
27,MedianZ_MAD_means,6.331398010253906
80,CentroidFrequency_percentile_85,6.300705432891846
6,SF12_modact,6.239265441894531
8,SF12_walkmile,6.194143295288086
25,MedianX_MAD_percentile_85,6.178117275238037
87,FrequencyDispersion_percentile_50,6.137971878051758
99,ExplainedVar_PC2_percentile_95,6.130551815032959
29,MedianZ_MAD_percentile_5,6.106911659240723
91,ExplainedVar_PC1_means,6.106568813323975
59,MedianFrequency_percentile_85,6.07597017288208
83,FrequencyDispersion_means,6.0726447105407715
2,total_steps_norm,6.064189910888672
81,CentroidFrequency_percentile_95,6.059152603149414
95,ExplainedVar_PC2_means,6.0577216148376465
51,RangeA_percentile_99,6.029827117919922
40,Path_percentile_15,6.018029689788818
67,F50_percentile_95,6.013486385345459
100,ExplainedVar_PC3_stds,6.006272315979004
41,Path_percentile_85,6.00537633895874
15,tmethrst,6.004539966583252
101,ExplainedVar_PC3_percentile_5,5.9886627197265625
45,Area_percentile_50,5.978886604309082
97,ExplainedVar_PC2_percentile_50,5.971853256225586
18,lifting,5.959076404571533
79,CentroidFrequency_percentile_50,5.941204071044922
68,F95_means,5.933011531829834
3,sit_work,5.910377502441406
93,ExplainedVar_PC1_percentile_50,5.89813232421875
63,PWR_percentile_85,5.827444553375244
60,MedianFrequency_percentile_95,5.779958248138428
37,RMS_stds,5.770538806915283
105,n_winds_norm,5.746393203735352
0,ageaccel,5.71007776260376
5,sithome,5.630646705627441
48,RangeA_percentile_5,5.609708786010742
35,MedianDistance_percentile_95,5.604885578155518
11,SF12_pain,5.600526809692383
54,RangeB_percentile_99,5.582414627075195
20,alcuse,5.581206798553467
92,ExplainedVar_PC1_stds,5.540201187133789
34,MedianDistance_percentile_85,5.527023792266846
39,Path_stds,5.518744945526123
71,F95_percentile_15,5.491736888885498
104,ExplainedVar_PC3_percentile_99,5.481343746185303
1,histhtn,5.409233570098877
65,F50_means,5.40867280960083
57,MedianFrequency_percentile_15,5.3993096351623535
53,RangeB_percentile_50,5.399181365966797
16,biking,5.391426086425781
22,MedianX_MAD_stds,5.36469841003418
23,MedianX_MAD_percentile_5,5.351840496063232
42,Path_percentile_95,5.348147869110107
88,FrequencyDispersion_percentile_85,5.338958740234375
76,CentroidFrequency_stds,5.333807945251465
84,FrequencyDispersion_stds,5.311568260192871
49,RangeA_percentile_50,5.298205375671387
4,sit_hometv,5.199617385864258
107,mean_std_spm,5.194828987121582
19,lowexer,5.139670372009277
98,ExplainedVar_PC2_percentile_85,5.130071640014648
17,walking,5.0619587898254395
24,MedianX_MAD_percentile_15,5.000818252563477
70,F95_percentile_5,4.952338218688965
69,F95_stds,4.889842987060547
21,first_fall_pre,4.861473560333252
94,ExplainedVar_PC1_percentile_99,4.488046646118164
30,MedianZ_MAD_percentile_15,4.325594425201416
85,FrequencyDispersion_percentile_5,4.1674418449401855
