,Feature,Gain
6,SF12_modact,30.421405792236328
0,ageaccel,28.302915573120117
21,RMS_percentile_95,26.612442016601562
10,SF12_phys_accless,20.973508834838867
5,SF12_vigact,17.833309173583984
9,SF12_cut_time,16.00925064086914
8,SF12_bending,14.184534072875977
41,ExplainedVar_PC1_percentile_15,13.155671119689941
38,FrequencyDispersion_percentile_99,13.111809730529785
37,FrequencyDispersion_percentile_15,12.248941421508789
40,ExplainedVar_PC1_stds,12.108319282531738
22,RMS_percentile_99,11.37193489074707
15,genhealth,11.03852367401123
12,SF12_pain,10.959455490112305
49,mean_std_spm,10.814228057861328
24,RangeA_stds,10.787901878356934
35,FrequencyDispersion_means,10.283458709716797
1,histhtn,10.075285911560059
47,n_winds_norm,9.30400276184082
11,SF12_limitedwork,9.04902172088623
14,swim,8.896373748779297
18,MedianDistance_percentile_5,8.862642288208008
2,heightbs,8.753108024597168
20,RMS_percentile_85,8.737696647644043
48,mean_spm,8.706289291381836
42,ExplainedVar_PC2_stds,8.62362289428711
33,CentroidFrequency_means,8.482450485229492
3,total_steps_norm,8.273497581481934
4,hearing_trouble,8.26236629486084
46,ExplainedVar_PC3_percentile_99,8.220659255981445
23,Area_stds,8.157552719116211
27,PWR_means,8.039898872375488
26,MedianFrequency_percentile_15,7.91010856628418
29,F95_means,7.765284061431885
39,ExplainedVar_PC1_means,7.597408771514893
43,ExplainedVar_PC2_percentile_5,7.573870658874512
28,PWR_percentile_99,7.397152900695801
44,ExplainedVar_PC2_percentile_85,7.268711090087891
25,RangeA_percentile_85,7.123291492462158
36,FrequencyDispersion_stds,7.072628498077393
34,CentroidFrequency_percentile_15,7.008439064025879
31,F95_percentile_95,7.005698204040527
32,F95_percentile_99,6.8457489013671875
13,tmethrst,6.527143478393555
17,MedianZ_MAD_percentile_15,6.513077259063721
7,SF12_climbsev,6.36276912689209
19,RMS_stds,6.3601908683776855
16,MedianZ_MAD_percentile_5,6.356184959411621
30,F95_stds,6.0171332359313965
51,had_parkyrs_time,6.00330924987793
50,sem_spm,5.786243915557861
45,ExplainedVar_PC3_percentile_15,5.7151713371276855
