,Feature,Gain
12,SF12_walkblock,512.2169189453125
44,ExplainedVar_PC1_percentile_95,257.5238952636719
11,SF12_walkblocks,242.17645263671875
13,SF12_bath,182.16802978515625
14,SF12_limitedwork,157.59527587890625
45,ExplainedVar_PC1_percentile_99,110.86971282958984
0,ageaccel,109.29969787597656
42,ExplainedVar_PC1_stds,96.16657257080078
17,SF12year,92.86077117919922
8,SF12_lifting,88.387451171875
5,total_steps_norm,79.38694763183594
16,SF12_not_careful,74.1756591796875
10,SF12_walkmile,71.59102630615234
9,SF12_climbone,55.52521514892578
50,ExplainedVar_PC3_percentile_95,50.147438049316406
46,ExplainedVar_PC2_percentile_85,47.68814468383789
23,MedianX_MAD_stds,33.43769836425781
41,FrequencyDispersion_percentile_95,27.237905502319336
27,Path_percentile_99,24.049842834472656
21,smoke,21.283355712890625
48,ExplainedVar_PC2_percentile_99,18.539196014404297
40,FrequencyDispersion_percentile_50,18.427127838134766
20,genhealth,16.980396270751953
1,bmi,16.937604904174805
47,ExplainedVar_PC2_percentile_95,16.633705139160156
2,weight,15.359330177307129
7,SF12_modact,15.292016983032227
37,CentroidFrequency_percentile_95,13.764748573303223
32,F50_percentile_15,13.332623481750488
26,MedianZ_MAD_percentile_5,13.134182929992676
49,ExplainedVar_PC3_percentile_50,12.971236228942871
24,MedianX_MAD_percentile_85,12.628368377685547
33,F95_stds,12.21186351776123
34,F95_percentile_95,12.153894424438477
51,n_winds_norm,11.477137565612793
43,ExplainedVar_PC1_percentile_15,11.461145401000977
30,MedianFrequency_percentile_5,11.393218040466309
28,RangeA_stds,11.282992362976074
38,FrequencyDispersion_percentile_5,11.24936294555664
3,had_jointyrs_time,11.108051300048828
22,first_fall_pre,11.056339263916016
6,SF12_vigact,10.958044052124023
18,stairclimb,10.861918449401855
19,running,10.824051856994629
52,mean_std_spm,10.723044395446777
25,MedianZ_MAD_means,10.321686744689941
36,CentroidFrequency_percentile_5,10.223673820495605
15,SF12_emot_accless,10.160122871398926
31,MedianFrequency_percentile_15,10.094792366027832
39,FrequencyDispersion_percentile_15,9.676856994628906
4,had_strokeyears_time,9.44822883605957
35,CentroidFrequency_stds,9.065823554992676
29,RangeA_percentile_85,8.453496932983398
