,Feature,Gain
6,SF12_walkblock,28.46261215209961
0,ageaccel,26.30730438232422
44,F95_percentile_85,23.553489685058594
52,FrequencyDispersion_percentile_50,22.382549285888672
43,F95_means,21.123239517211914
48,FrequencyDispersion_means,18.761734008789062
33,RangeA_percentile_99,15.722240447998047
11,tmethrst,14.937854766845703
51,FrequencyDispersion_percentile_15,14.935975074768066
7,SF12_phys_accless,14.051092147827148
46,F95_percentile_99,13.501175880432129
58,ExplainedVar_PC1_percentile_99,13.336207389831543
56,ExplainedVar_PC1_stds,12.9117431640625
29,Path_percentile_15,12.89223861694336
37,PWR_percentile_85,10.472131729125977
47,CentroidFrequency_percentile_5,9.763069152832031
22,MedianZ_MAD_percentile_15,9.512979507446289
55,FrequencyDispersion_percentile_99,9.372803688049316
50,FrequencyDispersion_percentile_5,9.179797172546387
25,MedianDistance_percentile_15,9.120096206665039
21,MedianZ_MAD_percentile_5,9.108012199401855
13,aerobic,9.10446548461914
62,n_winds_norm,9.058241844177246
49,FrequencyDispersion_stds,8.80742073059082
31,RangeA_stds,8.63297176361084
59,ExplainedVar_PC2_stds,8.620823860168457
2,histhtn,8.609013557434082
57,ExplainedVar_PC1_percentile_5,8.42505931854248
8,SF12_limitedwork,8.409260749816895
36,PWR_percentile_5,8.256950378417969
28,RMS_stds,8.173930168151855
54,FrequencyDispersion_percentile_95,8.165899276733398
17,MedianX_MAD_percentile_85,7.86405611038208
45,F95_percentile_95,7.733551025390625
40,F50_stds,7.474125862121582
39,PWR_percentile_99,7.447071075439453
23,MedianZ_MAD_percentile_95,7.426973819732666
14,othrexer,7.398962020874023
35,PWR_stds,7.334134101867676
24,MedianDistance_stds,7.310887336730957
4,hearing_trouble,7.27422571182251
30,Area_percentile_5,7.244849681854248
16,MedianX_MAD_percentile_15,7.203799724578857
63,mean_spm,7.137294769287109
26,MedianDistance_percentile_85,7.002500534057617
1,bmi,6.834187984466553
61,ExplainedVar_PC3_percentile_5,6.762701988220215
19,MedianZ_MAD_means,6.702644348144531
20,MedianZ_MAD_stds,6.688217639923096
32,RangeA_percentile_85,6.667682647705078
10,SF12_felt_calm,6.662082672119141
18,MedianX_MAD_percentile_99,6.652576446533203
27,MedianDistance_percentile_95,6.642261505126953
12,biking,6.544160842895508
41,F50_percentile_85,6.4328179359436035
9,SF12_emot_accless,6.419316291809082
38,PWR_percentile_95,6.357999801635742
60,ExplainedVar_PC2_percentile_85,6.2641754150390625
34,RangeB_percentile_85,6.232791900634766
3,total_steps_norm,6.204611301422119
42,F50_percentile_99,6.18440055847168
5,sit_work,6.134721279144287
53,FrequencyDispersion_percentile_85,5.998395919799805
15,MedianX_MAD_percentile_5,5.7137346267700195
