,Feature,Gain
0,ageaccel,24.659988403320312
1,bmi,19.264699935913086
33,F95_means,18.249032974243164
2,weight,16.734699249267578
48,ExplainedVar_PC1_stds,13.805912971496582
45,FrequencyDispersion_percentile_85,12.557425498962402
51,ExplainedVar_PC2_stds,12.36789608001709
18,Area_stds,11.490462303161621
4,had_jointyrs_time,11.430889129638672
13,MedianDistance_percentile_15,11.182400703430176
15,RMS_percentile_85,10.678942680358887
35,F95_percentile_99,10.622247695922852
16,Path_percentile_15,10.25693416595459
46,FrequencyDispersion_percentile_95,9.862022399902344
5,MedianX_MAD_percentile_50,9.799605369567871
57,mean_spm,9.743498802185059
31,F50_percentile_15,9.705503463745117
36,CentroidFrequency_means,9.662219047546387
20,Area_percentile_99,9.536413192749023
52,ExplainedVar_PC2_percentile_5,9.177574157714844
34,F95_percentile_95,9.134157180786133
50,ExplainedVar_PC1_percentile_99,8.864355087280273
12,MedianDistance_percentile_5,8.80482292175293
8,MedianZ_MAD_percentile_15,8.782304763793945
53,ExplainedVar_PC2_percentile_95,8.6007080078125
37,CentroidFrequency_percentile_5,8.419963836669922
41,FrequencyDispersion_stds,8.368561744689941
44,FrequencyDispersion_percentile_50,8.31244945526123
23,RangeA_percentile_85,8.307126998901367
19,Area_percentile_95,8.0848388671875
3,heightbs,7.722848892211914
40,CentroidFrequency_percentile_99,7.705373287200928
26,MedianFrequency_percentile_50,7.697914123535156
9,MedianZ_MAD_percentile_85,7.3638787269592285
14,MedianDistance_percentile_99,7.349826335906982
56,ExplainedVar_PC3_percentile_85,7.315080642700195
54,ExplainedVar_PC3_stds,7.313848972320557
27,MedianFrequency_percentile_85,7.310333251953125
42,FrequencyDispersion_percentile_5,7.308727741241455
55,ExplainedVar_PC3_percentile_50,7.287226676940918
39,CentroidFrequency_percentile_85,7.276751518249512
49,ExplainedVar_PC1_percentile_50,7.274643421173096
7,MedianZ_MAD_percentile_5,7.253547191619873
22,RangeA_percentile_50,7.1964850425720215
30,F50_means,7.062877178192139
24,MedianFrequency_stds,6.964576244354248
29,PWR_stds,6.861046314239502
58,mean_std_spm,6.815161228179932
11,MedianDistance_stds,6.7597503662109375
10,MedianZ_MAD_percentile_95,6.743783950805664
32,F50_percentile_95,6.68556022644043
28,PWR_means,6.648968696594238
25,MedianFrequency_percentile_5,6.510276794433594
21,RangeA_percentile_15,6.34454345703125
43,FrequencyDispersion_percentile_15,6.27858304977417
6,MedianX_MAD_percentile_95,6.206897258758545
47,FrequencyDispersion_percentile_99,5.911708354949951
17,Path_percentile_99,5.516737461090088
38,CentroidFrequency_percentile_50,5.1551408767700195
