,Feature,Gain
25,PWR_percentile_95,32.053775787353516
10,RMS_stds,19.890775680541992
35,CentroidFrequency_percentile_5,17.96891975402832
24,PWR_stds,17.71242332458496
23,PWR_means,17.059677124023438
15,RangeA_stds,16.151803970336914
45,mean_std_spm,13.893084526062012
37,FrequencyDispersion_percentile_95,13.71148681640625
13,RMS_percentile_95,12.983183860778809
14,Area_stds,12.930331230163574
4,MedianX_MAD_percentile_99,12.752582550048828
34,CentroidFrequency_stds,11.666598320007324
44,mean_spm,11.617894172668457
12,RMS_percentile_15,10.77692985534668
7,MedianZ_MAD_percentile_99,10.439472198486328
27,F50_stds,10.25454330444336
26,PWR_percentile_99,10.050695419311523
30,F95_stds,9.970499038696289
18,RangeB_percentile_15,9.737848281860352
20,MedianFrequency_stds,9.701471328735352
32,F95_percentile_95,9.669113159179688
21,MedianFrequency_percentile_5,9.503595352172852
29,F50_percentile_99,9.243254661560059
39,ExplainedVar_PC1_stds,9.10465145111084
9,MedianDistance_percentile_99,8.896830558776855
19,RangeB_percentile_50,8.702957153320312
16,RangeA_percentile_5,8.52645492553711
17,RangeA_percentile_50,8.506494522094727
6,MedianZ_MAD_percentile_50,8.373244285583496
38,FrequencyDispersion_percentile_99,8.335162162780762
36,FrequencyDispersion_means,8.250882148742676
0,ageaccel,8.174100875854492
1,bmi,7.985487937927246
5,MedianZ_MAD_percentile_5,7.917469501495361
42,ExplainedVar_PC2_percentile_95,7.76422643661499
46,sem_spm,7.677310943603516
41,ExplainedVar_PC2_percentile_85,7.621011734008789
3,MedianX_MAD_percentile_95,7.4851179122924805
31,F95_percentile_85,7.470149993896484
40,ExplainedVar_PC2_percentile_5,7.401412010192871
8,MedianDistance_percentile_85,7.011587142944336
33,F95_percentile_99,6.960964679718018
43,ExplainedVar_PC3_percentile_15,6.762507915496826
2,MedianX_MAD_percentile_5,6.6860456466674805
11,RMS_percentile_5,6.418424606323242
28,F50_percentile_15,6.217523097991943
22,MedianFrequency_percentile_85,5.87099027633667
