,Feature,Gain
54,ExplainedVar_PC1_percentile_95,25.953123092651367
55,ExplainedVar_PC1_percentile_99,24.38697052001953
0,ageaccel,20.202037811279297
50,ExplainedVar_PC1_means,12.457072257995605
5,total_steps_norm,11.591017723083496
57,ExplainedVar_PC2_percentile_85,11.350194931030273
26,RangeB_means,9.749014854431152
30,MedianFrequency_percentile_15,9.604974746704102
21,Area_percentile_5,9.591487884521484
4,EDUC,9.391756057739258
22,Area_percentile_15,8.721158981323242
2,histhtn,8.52619743347168
47,FrequencyDispersion_percentile_50,8.509578704833984
17,Path_percentile_5,8.32065486907959
13,RMS_percentile_85,8.070634841918945
61,ExplainedVar_PC3_percentile_95,8.06534194946289
38,F50_percentile_95,7.83522891998291
49,FrequencyDispersion_percentile_99,7.608141899108887
60,ExplainedVar_PC3_percentile_50,7.5721964836120605
58,ExplainedVar_PC2_percentile_95,7.461601257324219
51,ExplainedVar_PC1_stds,7.453843116760254
42,CentroidFrequency_percentile_5,7.4108991622924805
3,heightbs,7.385454177856445
56,ExplainedVar_PC2_stds,7.353056907653809
27,RangeB_percentile_15,7.340949535369873
34,PWR_means,7.338953971862793
52,ExplainedVar_PC1_percentile_5,7.162112712860107
24,RangeA_percentile_95,7.108348846435547
23,Area_percentile_99,7.073829174041748
16,Path_stds,6.9837799072265625
1,bmi,6.952664375305176
62,n_winds_norm,6.90715217590332
29,MedianFrequency_percentile_5,6.898167133331299
33,MedianFrequency_percentile_99,6.874129295349121
41,CentroidFrequency_stds,6.768951892852783
9,MedianZ_MAD_percentile_99,6.738378047943115
39,F50_percentile_99,6.720000267028809
18,Path_percentile_99,6.7191901206970215
20,Area_stds,6.6877617835998535
15,RMS_percentile_99,6.676034927368164
46,FrequencyDispersion_percentile_5,6.662631034851074
40,F95_stds,6.57654333114624
36,PWR_percentile_15,6.561755180358887
59,ExplainedVar_PC3_percentile_5,6.530185222625732
63,mean_spm,6.53010368347168
10,MedianDistance_percentile_15,6.5143561363220215
44,CentroidFrequency_percentile_99,6.507510185241699
43,CentroidFrequency_percentile_15,6.493903636932373
12,MedianDistance_percentile_95,6.442075252532959
35,PWR_stds,6.368492126464844
65,had_parkyrs_time,6.361733913421631
14,RMS_percentile_95,6.343865394592285
45,FrequencyDispersion_stds,6.343815803527832
8,MedianZ_MAD_percentile_15,6.338843822479248
32,MedianFrequency_percentile_95,6.179216384887695
11,MedianDistance_percentile_50,5.859396934509277
64,mean_std_spm,5.78188943862915
7,MedianZ_MAD_percentile_5,5.728499889373779
19,Area_means,5.716361999511719
37,PWR_percentile_85,5.644442081451416
48,FrequencyDispersion_percentile_95,5.391115188598633
28,RangeB_percentile_95,5.280481815338135
31,MedianFrequency_percentile_85,5.2575578689575195
6,MedianX_MAD_percentile_99,5.140185356140137
53,ExplainedVar_PC1_percentile_15,5.093792915344238
25,RangeA_percentile_99,4.942754745483398
