,Feature,Gain
32,ExplainedVar_PC1_stds,31.612829208374023
34,ExplainedVar_PC2_stds,27.826520919799805
0,ageaccel,25.37728500366211
25,FrequencyDispersion_means,18.648099899291992
29,FrequencyDispersion_percentile_50,18.521984100341797
7,RMS_stds,16.01308822631836
22,CentroidFrequency_means,14.253349304199219
26,FrequencyDispersion_stds,13.750295639038086
6,MedianDistance_percentile_15,13.581279754638672
33,ExplainedVar_PC1_percentile_5,13.280594825744629
9,Area_percentile_5,13.208518981933594
30,FrequencyDispersion_percentile_85,12.658164978027344
27,FrequencyDispersion_percentile_5,12.240859985351562
10,RangeA_stds,11.99209213256836
15,PWR_percentile_95,11.920232772827148
21,F95_percentile_85,11.796181678771973
3,MedianX_MAD_percentile_15,11.455026626586914
5,MedianX_MAD_percentile_99,11.165911674499512
18,F50_percentile_99,11.056309700012207
31,FrequencyDispersion_percentile_95,10.451476097106934
19,F95_means,10.184762001037598
14,PWR_percentile_5,9.823787689208984
4,MedianX_MAD_percentile_85,9.44677734375
11,RangeA_percentile_95,9.396446228027344
16,PWR_percentile_99,9.286733627319336
1,histhtn,9.062477111816406
35,n_winds_norm,8.911108016967773
12,RangeB_percentile_15,8.757306098937988
23,CentroidFrequency_percentile_5,8.748958587646484
2,MedianX_MAD_percentile_5,8.284891128540039
13,PWR_means,7.87523889541626
24,CentroidFrequency_percentile_15,7.85089111328125
17,F50_means,7.840435981750488
8,RMS_percentile_85,7.6808013916015625
28,FrequencyDispersion_percentile_15,7.144598484039307
20,F95_percentile_50,7.1324262619018555
