,Feature,Gain
6,had_jointyrs_time,53.22941589355469
3,weight,41.58213424682617
14,MedianX_MAD_percentile_95,22.240280151367188
69,F95_percentile_99,19.46613121032715
78,FrequencyDispersion_percentile_15,17.87614631652832
20,MedianDistance_stds,17.674697875976562
23,MedianDistance_percentile_95,16.476734161376953
2,bmi,14.221466064453125
77,FrequencyDispersion_percentile_5,14.0881986618042
71,CentroidFrequency_percentile_15,13.82225513458252
64,F95_stds,13.81443977355957
82,FrequencyDispersion_percentile_99,13.813697814941406
72,CentroidFrequency_percentile_50,13.737086296081543
52,MedianFrequency_percentile_99,13.486737251281738
43,RangeB_percentile_15,13.343754768371582
42,RangeB_percentile_5,13.11939525604248
4,heightbs,12.632146835327148
30,Path_percentile_99,12.602617263793945
87,ExplainedVar_PC2_percentile_5,11.736419677734375
74,CentroidFrequency_percentile_95,11.12411117553711
48,MedianFrequency_percentile_15,10.839323043823242
92,ExplainedVar_PC2_percentile_99,10.823338508605957
75,CentroidFrequency_percentile_99,10.800464630126953
96,ExplainedVar_PC3_percentile_95,10.489523887634277
16,MedianZ_MAD_percentile_15,10.431771278381348
11,MedianX_MAD_percentile_15,10.395256996154785
61,F50_percentile_85,10.260409355163574
50,MedianFrequency_percentile_85,10.124038696289062
9,MedianX_MAD_stds,9.969707489013672
21,MedianDistance_percentile_15,9.919339179992676
88,ExplainedVar_PC2_percentile_15,9.907877922058105
34,Area_percentile_99,9.79440975189209
84,ExplainedVar_PC1_percentile_95,9.64571475982666
29,Path_percentile_95,9.628963470458984
94,ExplainedVar_PC3_percentile_15,9.41808795928955
31,Area_stds,9.283000946044922
22,MedianDistance_percentile_85,9.139161109924316
81,FrequencyDispersion_percentile_95,9.094148635864258
85,ExplainedVar_PC1_percentile_99,9.047370910644531
56,PWR_percentile_85,9.045567512512207
54,PWR_stds,9.041555404663086
28,Path_stds,9.027995109558105
58,PWR_percentile_99,9.022729873657227
66,F95_percentile_15,8.995016098022461
73,CentroidFrequency_percentile_85,8.897909164428711
97,ExplainedVar_PC3_percentile_99,8.889337539672852
65,F95_percentile_5,8.817983627319336
62,F50_percentile_95,8.805416107177734
17,MedianZ_MAD_percentile_50,8.741095542907715
1,ageaccel,8.6480131149292
86,ExplainedVar_PC2_stds,8.627069473266602
89,ExplainedVar_PC2_percentile_50,8.59043025970459
59,F50_stds,8.509164810180664
70,CentroidFrequency_stds,8.507160186767578
36,RangeA_percentile_5,8.47507381439209
76,FrequencyDispersion_stds,8.416207313537598
19,MedianZ_MAD_percentile_99,8.41177749633789
10,MedianX_MAD_percentile_5,8.265535354614258
93,ExplainedVar_PC3_means,8.212653160095215
91,ExplainedVar_PC2_percentile_95,8.196569442749023
13,MedianX_MAD_percentile_85,8.188587188720703
95,ExplainedVar_PC3_percentile_50,8.16421127319336
47,MedianFrequency_percentile_5,8.088234901428223
53,PWR_means,8.01309871673584
98,n_winds_norm,7.983737945556641
99,mean_spm,7.943972587585449
101,sem_spm,7.779898166656494
57,PWR_percentile_95,7.776080131530762
100,mean_std_spm,7.7049384117126465
79,FrequencyDispersion_percentile_50,7.69332218170166
39,RangeA_percentile_95,7.6892852783203125
0,RACE,7.645544052124023
51,MedianFrequency_percentile_95,7.598130226135254
12,MedianX_MAD_percentile_50,7.538135051727295
8,total_steps_norm,7.535284042358398
33,Area_percentile_95,7.5056352615356445
40,RangeA_percentile_99,7.481734752655029
44,RangeB_percentile_50,7.4808807373046875
45,RangeB_percentile_85,7.458978652954102
102,had_parkyrs_time,7.406315803527832
90,ExplainedVar_PC2_percentile_85,7.219891548156738
15,MedianZ_MAD_percentile_5,7.199295997619629
35,RangeA_means,7.085624694824219
38,RangeA_percentile_85,6.997779846191406
5,EDUC,6.973787784576416
7,had_tiayrs_time,6.905940055847168
27,RMS_percentile_99,6.899105072021484
32,Area_percentile_85,6.8038177490234375
68,F95_percentile_85,6.765167236328125
24,RMS_means,6.592844009399414
25,RMS_percentile_85,6.5524725914001465
80,FrequencyDispersion_percentile_85,6.460163116455078
55,PWR_percentile_50,6.348729133605957
26,RMS_percentile_95,6.320508003234863
60,F50_percentile_15,6.2805376052856445
63,F95_means,6.177603721618652
41,RangeB_stds,6.163236141204834
83,ExplainedVar_PC1_percentile_50,6.150871276855469
37,RangeA_percentile_15,6.138462066650391
46,MedianFrequency_means,6.1239824295043945
18,MedianZ_MAD_percentile_95,5.973227024078369
67,F95_percentile_50,5.844234466552734
49,MedianFrequency_percentile_50,5.142009258270264
