,Feature,Gain
22,ExplainedVar_PC1_percentile_95,245.6329345703125
20,ExplainedVar_PC1_stds,207.102783203125
0,ageaccel,121.31782531738281
23,ExplainedVar_PC1_percentile_99,118.9805679321289
5,total_steps_norm,69.14595031738281
13,F95_percentile_99,58.31707000732422
18,FrequencyDispersion_percentile_85,42.68824005126953
19,FrequencyDispersion_percentile_95,42.62992477416992
6,MedianX_MAD_stds,20.67352867126465
17,FrequencyDispersion_percentile_50,19.17689323425293
1,bmi,17.82393455505371
11,F50_percentile_99,17.612564086914062
16,FrequencyDispersion_percentile_15,17.45582389831543
2,weight,15.695375442504883
14,FrequencyDispersion_means,14.52804183959961
7,RangeA_stds,14.206499099731445
4,had_strokeyears_time,14.020857810974121
25,ExplainedVar_PC2_percentile_99,12.38343620300293
10,F50_percentile_15,12.0579833984375
26,n_winds_norm,11.896560668945312
9,MedianFrequency_stds,11.646929740905762
24,ExplainedVar_PC2_percentile_50,11.564751625061035
3,had_jointyrs_time,11.31741714477539
15,FrequencyDispersion_percentile_5,10.462343215942383
21,ExplainedVar_PC1_percentile_15,9.698104858398438
12,F95_stds,9.537389755249023
8,RangeA_percentile_85,9.204476356506348
