Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.004,0.997,0.536,0.570
O,0.01,0.007,0.997,0.196,0.901
O,0.02,0.010,0.997,0.036,0.988
O,0.05,0.000,0.997,0.000,1.000
O+S,0.005,0.009,0.998,0.589,0.794
O+S,0.01,0.022,0.998,0.339,0.949
O+S,0.02,0.024,0.997,0.125,0.983
O+S,0.05,0.000,0.997,0.000,0.997
O+D,0.005,0.005,0.997,0.464,0.702
O+D,0.01,0.008,0.997,0.125,0.950
O+D,0.02,0.000,0.997,0.000,0.995
O+D,0.05,0.000,0.997,0.000,1.000
O+S+D,0.005,0.010,0.998,0.518,0.832
O+S+D,0.01,0.022,0.997,0.268,0.960
O+S+D,0.02,0.025,0.997,0.107,0.986
O+S+D,0.05,0.000,0.997,0.000,0.998
