threshold,strategy,net_benefit,model
0.005,O,-0.0003764237415051191,O
0.01,O,-0.00034556117339916057,O
0.015,O,-0.00014936771352268258,O
0.02,O,-0.00011592803688828791,O
0.025,O,-6.620779795533779e-05,O
0.03,O,1.1434254454125785e-05,O
0.035,O,3.7830141151565976e-05,O
0.04,O,-1.4949098344106305e-05,O
0.045,O,-8.45289330452084e-06,O
0.05,O,-9.441535796277664e-06,O
0.055,O,0.0,O
0.06,O,0.0,O
0.065,O,0.0,O
0.07,O,0.0,O
0.075,O,0.0,O
0.08,O,0.0,O
0.085,O,0.0,O
0.09,O,0.0,O
0.095,O,0.0,O
0.1,O,0.0,O
0.005,Treat all,-0.001694758591211442,O
0.01,Treat all,-0.006753823028540793,O
0.015,Treat all,-0.011864248526147599,O
0.02,Treat all,-0.017026821222709577,O
0.025,Treat all,-0.022242343382826036,O
0.03,Treat all,-0.02751163381263442,O
0.035,Treat all,-0.03283552828834755,O
0.04,Treat all,-0.038214879998182696,O
0.045,Treat all,-0.04365055999817318,O
0.05,Treat all,-0.04914345768237409,O
0.055,Treat all,-0.05469448126799512,O
0.06,Treat all,-0.06030455829601636,O
0.065,Treat all,-0.06597463614786672,O
0.07,Treat all,-0.07170568257876925,O
0.075,Treat all,-0.07749868626838419,O
0.08,Treat all,-0.08335465738940802,O
0.085,Treat all,-0.08927462819481463,O
0.09,Treat all,-0.09525965362445646,O
0.095,Treat all,-0.1013108119317739,O
0.1,Treat all,-0.10742920533139488,O
0.005,Treat none,0.0,O
0.01,Treat none,0.0,O
0.015,Treat none,0.0,O
0.02,Treat none,0.0,O
0.025,Treat none,0.0,O
0.03,Treat none,0.0,O
0.035,Treat none,0.0,O
0.04,Treat none,0.0,O
0.045,Treat none,0.0,O
0.05,Treat none,0.0,O
0.055,Treat none,0.0,O
0.06,Treat none,0.0,O
0.065,Treat none,0.0,O
0.07,Treat none,0.0,O
0.075,Treat none,0.0,O
0.08,Treat none,0.0,O
0.085,Treat none,0.0,O
0.09,Treat none,0.0,O
0.095,Treat none,0.0,O
0.1,Treat none,0.0,O
0.005,O+S,0.000921375969235128,O+S
0.01,O+S,0.0006099396051541134,O+S
0.015,O+S,0.000391193123342264,O+S
0.02,O+S,7.019557577244697e-05,O+S
0.025,O+S,-0.00013594601236392378,O+S
0.03,O+S,-0.00012276330232534628,O+S
0.035,O+S,-7.474348618191507e-05,O+S
0.04,O+S,-0.00017276598359349627,O+S
0.045,O+S,-0.000211322332613021,O+S
0.05,O+S,-0.0001793891801292756,O+S
0.055,O+S,-0.00016357002844239065,O+S
0.06,O+S,-0.0001450380605300526,O+S
0.065,O+S,-0.0001288660242283388,O+S
0.07,O+S,-0.00013052331027327225,O+S
0.075,O+S,-0.00013090561793217405,O+S
0.08,O+S,-0.00010919341399173297,O+S
0.085,O+S,-8.887769944474128e-05,O+S
0.09,O+S,-8.870893522876266e-05,O+S
0.095,O+S,-6.904666417498822e-05,O+S
0.1,O+S,-7.308448079340859e-05,O+S
0.005,Treat all,-0.001694758591211442,O+S
0.01,Treat all,-0.006753823028540793,O+S
0.015,Treat all,-0.011864248526147599,O+S
0.02,Treat all,-0.017026821222709577,O+S
0.025,Treat all,-0.022242343382826036,O+S
0.03,Treat all,-0.02751163381263442,O+S
0.035,Treat all,-0.03283552828834755,O+S
0.04,Treat all,-0.038214879998182696,O+S
0.045,Treat all,-0.04365055999817318,O+S
0.05,Treat all,-0.04914345768237409,O+S
0.055,Treat all,-0.05469448126799512,O+S
0.06,Treat all,-0.06030455829601636,O+S
0.065,Treat all,-0.06597463614786672,O+S
0.07,Treat all,-0.07170568257876925,O+S
0.075,Treat all,-0.07749868626838419,O+S
0.08,Treat all,-0.08335465738940802,O+S
0.085,Treat all,-0.08927462819481463,O+S
0.09,Treat all,-0.09525965362445646,O+S
0.095,Treat all,-0.1013108119317739,O+S
0.1,Treat all,-0.10742920533139488,O+S
0.005,Treat none,0.0,O+S
0.01,Treat none,0.0,O+S
0.015,Treat none,0.0,O+S
0.02,Treat none,0.0,O+S
0.025,Treat none,0.0,O+S
0.03,Treat none,0.0,O+S
0.035,Treat none,0.0,O+S
0.04,Treat none,0.0,O+S
0.045,Treat none,0.0,O+S
0.05,Treat none,0.0,O+S
0.055,Treat none,0.0,O+S
0.06,Treat none,0.0,O+S
0.065,Treat none,0.0,O+S
0.07,Treat none,0.0,O+S
0.075,Treat none,0.0,O+S
0.08,Treat none,0.0,O+S
0.085,Treat none,0.0,O+S
0.09,Treat none,0.0,O+S
0.095,Treat none,0.0,O+S
0.1,Treat none,0.0,O+S
0.005,O+D,4.54722507218367e-05,O+D
