Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.182,0.991,0.994,0.126
O,0.1,0.193,0.944,0.928,0.239
O,0.15,0.219,0.897,0.699,0.511
O,0.2,0.280,0.873,0.412,0.793
O+S,0.05,0.185,0.985,0.989,0.145
O+S,0.1,0.216,0.936,0.867,0.381
O+S,0.15,0.261,0.912,0.700,0.612
O+S,0.2,0.306,0.896,0.555,0.753
O+D,0.05,0.183,0.996,0.997,0.125
O+D,0.1,0.192,0.940,0.923,0.237
O+D,0.15,0.229,0.904,0.714,0.528
O+D,0.2,0.272,0.873,0.426,0.777
O+S+D,0.05,0.185,0.987,0.991,0.143
O+S+D,0.1,0.219,0.944,0.884,0.382
O+S+D,0.15,0.268,0.917,0.716,0.616
O+S+D,0.2,0.310,0.897,0.560,0.756
