threshold,strategy,net_benefit,model
0.02,O,0.06490887875168722,O
0.03,O,0.056125815935937885,O
0.04,O,0.04720953359984638,O
0.05,O,0.03972981116467573,O
0.06,O,0.032063551314892746,O
0.07,O,0.024703922857030547,O
0.08,O,0.019384562781915693,O
0.09,O,0.015259978403852625,O
0.1,O,0.011990096706935315,O
0.11,O,0.008523207496140873,O
0.12,O,0.005928708798325254,O
0.13,O,0.004193129016089876,O
0.14,O,0.002909463319133717,O
0.15,O,0.001965657055002134,O
0.16,O,0.0012593194032298229,O
0.17,O,0.00042146510928437603,O
0.18,O,0.0004986419732967082,O
0.19,O,-3.2573720503593136e-05,O
0.2,O,-0.0001705096888687202,O
0.21,O,-1.9119289876496455e-05,O
0.22,O,-9.759317588978493e-05,O
0.23,O,5.039021368675892e-05,O
0.24,O,2.205353327423506e-05,O
0.25,O,-5.388161469054443e-05,O
0.26,O,0.00011511833873081334,O
0.27,O,6.215911952413442e-05,O
0.28,O,0.0,O
0.29,O,0.0,O
0.3,O,0.0,O
0.31,O,0.0,O
0.32,O,0.0,O
0.33,O,0.0,O
0.34,O,0.0,O
0.35,O,0.0,O
0.02,Treat all,0.06231428377296741,O
0.03,Treat all,0.052647420719080476,O
0.04,Treat all,0.042779164684904225,O
0.05,Treat all,0.03270315589211374,O
0.06,Treat all,0.022412763933519216,O
0.07,Treat all,0.011901073223126932,O
0.08,Treat all,0.0011608674972913707,O
0.09,Treat all,-0.009815386706035087,O
0.1,Treat all,-0.02103555766943549,O
0.11,Treat all,-0.03250786730617071,O
0.12,Treat all,-0.04424091125283175,O
0.13,Treat all,-0.05624368034769189,O
0.14,Treat all,-0.06852558360754876,O
0.15,Treat all,-0.08109647282646112,O
0.16,Treat all,-0.09396666893153804,O
0.17,Treat all,-0.1071469902439662,O
0.18,Treat all,-0.12064878280791697,O
0.19,Treat all,-0.1344839529660394,O
0.2,Treat all,-0.14866500237811492,O
0.21,Treat all,-0.16320506569935686,O
0.22,Treat all,-0.17811795115704096,O
0.23,Treat all,-0.19341818428895055,O
0.24,Treat all,-0.20912105513485776,O
0.25,Treat all,-0.22524266920332256,O
0.26,Treat all,-0.24180000257093506,O
