threshold,strategy,net_benefit,model
0.02,O,0.0,O
0.03,O,0.0,O
0.04,O,0.0,O
0.05,O,0.0,O
0.06,O,0.0,O
0.07,O,0.0,O
0.08,O,0.0,O
0.09,O,0.0,O
0.1,O,0.0,O
0.11,O,0.0,O
0.12,O,0.0,O
0.13,O,0.0,O
0.14,O,0.0,O
0.15,O,0.0,O
0.16,O,0.0,O
0.17,O,0.0,O
0.18,O,0.0,O
0.19,O,0.0,O
0.2,O,0.0,O
0.21,O,0.0,O
0.22,O,0.0,O
0.23,O,0.0,O
0.24,O,0.0,O
0.25,O,0.0,O
0.26,O,0.0,O
0.27,O,0.0,O
0.28,O,0.0,O
0.29,O,0.0,O
0.3,O,0.0,O
0.31,O,0.0,O
0.32,O,0.0,O
0.33,O,0.0,O
0.34,O,0.0,O
0.35,O,0.0,O
0.02,Treat all,-0.013263651034519581,O
0.03,Treat all,-0.02370966805549401,O
0.04,Treat all,-0.03437331043107208,O
0.05,Treat all,-0.045261450540872834,O
0.06,Treat all,-0.05638125320620126,O
0.07,Treat all,-0.06774019141271957,O
0.08,Treat all,-0.07934606305850998,O
0.09,Treat all,-0.0912070088064057,O
0.1,Treat all,-0.10333153112647689,O
0.11,Treat all,-0.11572851462227998,O
0.12,Treat all,-0.1284072477429877,O
0.13,Treat all,-0.1413774459929071,O
0.14,Treat all,-0.1546492767602665,O
0.15,Treat all,-0.16823338589862258,O
0.16,Treat all,-0.1821409262069395,O
0.17,Treat all,-0.19638358796846891,O
0.18,Treat all,-0.2109736317241819,O
0.19,Treat all,-0.22592392347386317,O
0.2,Treat all,-0.24124797251728647,O
0.21,Treat all,-0.25695997216940397,O
0.22,Treat all,-0.2730748436074733,O
0.23,Treat all,-0.28960828313484305,O
0.24,Treat all,-0.306576813176091,O
0.25,Treat all,-0.32399783735177223,O
0.26,Treat all,-0.34188970001868807,O
0.27,Treat all,-0.3602717507038756,O
0.28,Treat all,-0.37916441390809613,O
0.29,Treat all,-0.3985892648082101,O
0.3,Treat all,-0.4185691114483274,O
0.31,Treat all,-0.43912808407801335,O
0.32,Treat all,-0.46029173237327825,O
0.33,Treat all,-0.4820871313639242,O
0.34,Treat all,-0.5045429969906504,O
0.35,Treat all,-0.5276898123289679,O
0.02,Treat none,0.0,O
0.03,Treat none,0.0,O
0.04,Treat none,0.0,O
0.05,Treat none,0.0,O
0.06,Treat none,0.0,O
0.07,Treat none,0.0,O
0.08,Treat none,0.0,O
0.09,Treat none,0.0,O
0.1,Treat none,0.0,O
0.11,Treat none,0.0,O
0.12,Treat none,0.0,O
0.13,Treat none,0.0,O
0.14,Treat none,0.0,O
0.15,Treat none,0.0,O
0.16,Treat none,0.0,O
0.17,Treat none,0.0,O
0.18,Treat none,0.0,O
0.19,Treat none,0.0,O
0.2,Treat none,0.0,O
0.21,Treat none,0.0,O
0.22,Treat none,0.0,O
0.23,Treat none,0.0,O
0.24,Treat none,0.0,O
0.25,Treat none,0.0,O
0.26,Treat none,0.0,O
0.27,Treat none,0.0,O
0.28,Treat none,0.0,O
0.29,Treat none,0.0,O
0.3,Treat none,0.0,O
0.31,Treat none,0.0,O
0.32,Treat none,0.0,O
0.33,Treat none,0.0,O
0.34,Treat none,0.0,O
0.35,Treat none,0.0,O
0.02,O+Q,-1.2244138131043677e-06,O+Q
0.03,O+Q,0.0,O+Q
0.04,O+Q,0.0,O+Q
0.05,O+Q,0.0,O+Q
0.06,O+Q,0.0,O+Q
0.07,O+Q,0.0,O+Q
0.08,O+Q,0.0,O+Q
0.09,O+Q,0.0,O+Q
0.1,O+Q,0.0,O+Q
0.11,O+Q,0.0,O+Q
0.12,O+Q,0.0,O+Q
0.13,O+Q,0.0,O+Q
0.14,O+Q,0.0,O+Q
0.15,O+Q,0.0,O+Q
0.16,O+Q,0.0,O+Q
0.17,O+Q,0.0,O+Q
0.18,O+Q,0.0,O+Q
0.19,O+Q,0.0,O+Q
0.2,O+Q,0.0,O+Q
0.21,O+Q,0.0,O+Q
0.22,O+Q,0.0,O+Q
0.23,O+Q,0.0,O+Q
0.24,O+Q,0.0,O+Q
0.25,O+Q,0.0,O+Q
0.26,O+Q,0.0,O+Q
0.27,O+Q,0.0,O+Q
0.28,O+Q,0.0,O+Q
0.29,O+Q,0.0,O+Q
0.3,O+Q,0.0,O+Q
0.31,O+Q,0.0,O+Q
0.32,O+Q,0.0,O+Q
0.33,O+Q,0.0,O+Q
