threshold,strategy,net_benefit,model
0.005,O,0.009872573384267076,O
0.01,O,0.002478121418631317,O
0.015,O,-3.7292945783294965e-05,O
0.02,O,-0.00035016141945218196,O
0.025,O,-5.028321123677572e-05,O
0.03,O,6.247851282554258e-05,O
0.035,O,0.0,O
0.04,O,0.0,O
0.045,O,0.0,O
0.05,O,0.0,O
0.055,O,0.0,O
0.06,O,0.0,O
0.065,O,0.0,O
0.07,O,0.0,O
0.075,O,0.0,O
0.08,O,0.0,O
0.085,O,0.0,O
0.09,O,0.0,O
0.095,O,0.0,O
0.1,O,0.0,O
0.005,Treat all,0.009963395569434636,O
0.01,Treat all,0.004963210698573195,O
0.015,Treat all,-8.773747046957915e-05,O
0.02,Treat all,-0.005190225926951571,O
0.025,Treat all,-0.010345047598371834,O
0.03,Treat all,-0.015553011761250037,O
0.035,Treat all,-0.02081494446467621,O
0.04,Treat all,-0.026131688967096396,O
0.045,Treat all,-0.03150410618681941,O
0.05,Treat all,-0.03693307516675004,O
0.055,Treat all,-0.042419493553875705,O
0.06,Treat all,-0.04796427809405588,O
0.065,Treat all,-0.05356836514268721,O
0.07,Treat all,-0.059232711191841446,O
0.075,Treat all,-0.06495829341450002,O
0.08,Treat all,-0.07074611022653537,O
0.085,Treat all,-0.07659718186711753,O
0.09,Treat all,-0.08251255099825552,O
0.095,Treat all,-0.08849328332421275,O
0.1,Treat all,-0.0945404682315695,O
0.005,Treat none,0.0,O
0.01,Treat none,0.0,O
0.015,Treat none,0.0,O
0.02,Treat none,0.0,O
0.025,Treat none,0.0,O
0.03,Treat none,0.0,O
0.035,Treat none,0.0,O
0.04,Treat none,0.0,O
0.045,Treat none,0.0,O
0.05,Treat none,0.0,O
0.055,Treat none,0.0,O
0.06,Treat none,0.0,O
0.065,Treat none,0.0,O
0.07,Treat none,0.0,O
0.075,Treat none,0.0,O
0.08,Treat none,0.0,O
0.085,Treat none,0.0,O
0.09,Treat none,0.0,O
0.095,Treat none,0.0,O
0.1,Treat none,0.0,O
0.005,O+S,0.009904251818567376,O+S
0.01,O+S,0.0037710165945535013,O+S
0.015,O+S,0.0002942017283482433,O+S
0.02,O+S,-0.0001456660514942657,O+S
0.025,O+S,-0.000487733569575446,O+S
0.03,O+S,-1.1281164674481329e-05,O+S
0.035,O+S,6.236519970034304e-05,O+S
0.04,O+S,6.236519970034304e-05,O+S
0.045,O+S,6.236519970034304e-05,O+S
0.05,O+S,6.236519970034304e-05,O+S
0.055,O+S,6.236519970034304e-05,O+S
0.06,O+S,6.236519970034304e-05,O+S
0.065,O+S,6.236519970034304e-05,O+S
0.07,O+S,0.0,O+S
0.075,O+S,0.0,O+S
0.08,O+S,0.0,O+S
0.085,O+S,0.0,O+S
0.09,O+S,0.0,O+S
0.095,O+S,0.0,O+S
0.1,O+S,0.0,O+S
0.005,Treat all,0.009963395569434636,O+S
0.01,Treat all,0.004963210698573195,O+S
0.015,Treat all,-8.773747046957915e-05,O+S
0.02,Treat all,-0.005190225926951571,O+S
0.025,Treat all,-0.010345047598371834,O+S
0.03,Treat all,-0.015553011761250037,O+S
0.035,Treat all,-0.02081494446467621,O+S
0.04,Treat all,-0.026131688967096396,O+S
0.045,Treat all,-0.03150410618681941,O+S
0.05,Treat all,-0.03693307516675004,O+S
0.055,Treat all,-0.042419493553875705,O+S
0.06,Treat all,-0.04796427809405588,O+S
0.065,Treat all,-0.05356836514268721,O+S
0.07,Treat all,-0.059232711191841446,O+S
0.075,Treat all,-0.06495829341450002,O+S
0.08,Treat all,-0.07074611022653537,O+S
