Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.008,0.996,0.049,0.979
O,0.01,0.000,0.996,0.000,1.000
O,0.02,--,0.996,0.000,1.000
O,0.05,--,0.996,0.000,1.000
O+S,0.005,0.011,0.997,0.165,0.946
O+S,0.01,0.059,0.996,0.034,0.998
O+S,0.02,1.000,0.996,0.017,1.000
O+S,0.05,--,0.996,0.000,1.000
O+D,0.005,0.013,0.998,0.475,0.862
O+D,0.01,0.025,0.997,0.197,0.971
O+D,0.02,0.019,0.996,0.017,0.997
O+D,0.05,--,0.996,0.000,1.000
O+S+D,0.005,0.015,0.998,0.541,0.866
O+S+D,0.01,0.025,0.997,0.213,0.969
O+S+D,0.02,0.025,0.996,0.033,0.995
O+S+D,0.05,0.000,0.996,0.000,1.000
