Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.162,0.953,0.926,0.241
O,0.1,0.269,0.947,0.766,0.670
O,0.15,0.329,0.932,0.634,0.795
O,0.2,0.373,0.923,0.552,0.853
O+S,0.05,0.199,0.946,0.833,0.469
O+S,0.1,0.277,0.936,0.691,0.714
O+S,0.15,0.382,0.926,0.574,0.853
O+S,0.2,0.462,0.917,0.483,0.911
O+D,0.05,0.169,0.947,0.895,0.299
O+D,0.1,0.290,0.935,0.677,0.737
O+D,0.15,0.380,0.926,0.570,0.853
O+D,0.2,0.488,0.918,0.481,0.920
O+S+D,0.05,0.197,0.947,0.841,0.455
O+S+D,0.1,0.319,0.937,0.673,0.772
O+S+D,0.15,0.419,0.927,0.567,0.875
O+S+D,0.2,0.511,0.917,0.470,0.929
