threshold,strategy,net_benefit,model
0.02,O,0.00013209583163741924,O
0.03,O,-1.7538658253148136e-06,O
0.04,O,-2.2584438720908787e-05,O
0.05,O,-1.2678983141562828e-05,O
0.06,O,-1.5376639129129385e-05,O
0.07,O,-9.066154611977722e-06,O
0.08,O,-5.2369712976020375e-06,O
0.09,O,-5.956335486833086e-06,O
0.1,O,0.0,O
0.11,O,0.0,O
0.12,O,0.0,O
0.13,O,0.0,O
0.14,O,0.0,O
0.15,O,0.0,O
0.16,O,0.0,O
0.17,O,0.0,O
0.18,O,0.0,O
0.19,O,0.0,O
0.2,O,0.0,O
0.21,O,0.0,O
0.22,O,0.0,O
0.23,O,0.0,O
0.24,O,0.0,O
0.25,O,0.0,O
0.26,O,0.0,O
0.27,O,0.0,O
0.28,O,0.0,O
0.29,O,0.0,O
0.3,O,0.0,O
0.31,O,0.0,O
0.32,O,0.0,O
0.33,O,0.0,O
0.34,O,0.0,O
0.35,O,0.0,O
0.02,Treat all,-0.017129374883704307,O
0.03,Treat all,-0.027615244727866205,O
0.04,Treat all,-0.03831957019378149,O
0.05,Treat all,-0.04924924988003181,O
0.06,Treat all,-0.06041147594258534,O
0.07,Treat all,-0.07181374987745186,O
0.08,Treat all,-0.08346389933264153,O
0.09,Treat all,-0.09537009602860463,O
0.1,Treat all,-0.10754087487336692,O
0.11,Treat all,-0.11998515436632608,O
0.12,Treat all,-0.13271225839321615,O
0.13,Treat all,-0.14573193952417268,O
0.14,Treat all,-0.15905440393724446,O
0.15,Treat all,-0.17269033810121204,O
0.16,Treat all,-0.1866509373643217,O
0.17,Treat all,-0.20094793660967497,O
0.18,Treat all,-0.21559364315369536,O
0.19,Treat all,-0.23060097208151878,O
0.2,Treat all,-0.24598348423253777,O
0.21,Treat all,-0.2617554270709243,O
0.22,Treat all,-0.2779317787000387,O
0.23,Treat all,-0.29452829530653274,O
0.24,Treat all,-0.31156156235003973,O
0.25,Treat all,-0.3290490498480403,O
0.26,Treat all,-0.3470091721432841,O
0.27,Treat all,-0.36546135258360307,O
0.28,Treat all,-0.3844260935917087,O
0.29,Treat all,-0.4039250526563806,O
0.3,Treat all,-0.42398112483718603,O
