Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.000,0.999,0.000,0.997
O,0.01,0.000,0.999,0.000,1.000
O,0.02,--,0.999,0.000,1.000
O,0.05,--,0.999,0.000,1.000
O+S,0.005,0.000,0.999,0.000,0.983
O+S,0.01,0.000,0.999,0.000,1.000
O+S,0.02,--,0.999,0.000,1.000
O+S,0.05,--,0.999,0.000,1.000
O+D,0.005,0.004,0.999,0.045,0.985
O+D,0.01,0.033,0.999,0.045,0.998
O+D,0.02,0.000,0.999,0.000,1.000
O+D,0.05,--,0.999,0.000,1.000
O+S+D,0.005,0.003,0.999,0.045,0.983
O+S+D,0.01,0.000,0.999,0.000,0.999
O+S+D,0.02,0.000,0.999,0.000,1.000
O+S+D,0.05,--,0.999,0.000,1.000
