threshold,strategy,net_benefit,model
0.005,O,-1.716213574848453e-05,O
0.01,O,-6.052215158512177e-07,O
0.015,O,0.0,O
0.02,O,0.0,O
0.025,O,0.0,O
0.03,O,0.0,O
0.035,O,0.0,O
0.04,O,0.0,O
0.045,O,0.0,O
0.05,O,0.0,O
0.055,O,0.0,O
0.06,O,0.0,O
0.065,O,0.0,O
0.07,O,0.0,O
0.075,O,0.0,O
0.08,O,0.0,O
0.085,O,0.0,O
0.09,O,0.0,O
0.095,O,0.0,O
0.1,O,0.0,O
0.005,Treat all,-0.003713960195579458,O
0.01,Treat all,-0.008783222620809657,O
0.015,Treat all,-0.0139039496391894,O
0.02,Treat all,-0.019076928974083227,O
0.025,Treat all,-0.024302964507283656,O
0.03,Treat all,-0.029582876695465526,O
0.035,Treat all,-0.03491750299958711,O
0.04,Treat all,-0.040307698327709966,O
0.045,Treat all,-0.045754335491729387,O
0.05,Treat all,-0.05125830567852796,O
0.055,Treat all,-0.05682051893608631,O
0.06,Treat all,-0.06244190467510803,O
0.065,Treat all,-0.06812341218673963,O
0.07,Treat all,-0.07386601117699094,O
0.075,Treat all,-0.07967069231848817,O
0.08,Treat all,-0.08553846782021908,O
0.085,Treat all,-0.09147037201595799,O
0.09,Treat all,-0.09746746197208962,O
0.095,Treat all,-0.10353081811558183,O
0.1,Treat all,-0.10966154488289064,O
0.005,Treat none,0.0,O
0.01,Treat none,0.0,O
0.015,Treat none,0.0,O
0.02,Treat none,0.0,O
0.025,Treat none,0.0,O
0.03,Treat none,0.0,O
0.035,Treat none,0.0,O
0.04,Treat none,0.0,O
0.045,Treat none,0.0,O
0.05,Treat none,0.0,O
0.055,Treat none,0.0,O
0.06,Treat none,0.0,O
0.065,Treat none,0.0,O
0.07,Treat none,0.0,O
0.075,Treat none,0.0,O
0.08,Treat none,0.0,O
0.085,Treat none,0.0,O
0.09,Treat none,0.0,O
0.095,Treat none,0.0,O
0.1,Treat none,0.0,O
