Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.030,--,1.000,0.000
O,0.01,0.031,0.996,0.996,0.036
O,0.02,0.041,0.992,0.911,0.348
O,0.05,0.057,0.978,0.443,0.777
O+S,0.005,0.030,--,1.000,0.000
O+S,0.01,0.031,0.988,0.982,0.045
O+S,0.02,0.043,0.990,0.867,0.402
O+S,0.05,0.054,0.975,0.275,0.853
O+D,0.005,0.030,--,1.000,0.000
O+D,0.01,0.030,0.997,0.998,0.027
O+D,0.02,0.042,0.989,0.861,0.397
O+D,0.05,0.062,0.974,0.223,0.897
O+S+D,0.005,0.030,--,1.000,0.000
O+S+D,0.01,0.031,0.989,0.983,0.049
O+S+D,0.02,0.042,0.988,0.838,0.420
O+S+D,0.05,0.046,0.973,0.198,0.875
