threshold,strategy,net_benefit,model
0.005,O,0.002345232688040828,O
0.01,O,0.0003194366472456709,O
0.015,O,-0.0004488453376513446,O
0.02,O,-0.0006836217785176627,O
0.025,O,-0.0004367086807041312,O
0.03,O,-0.0002177368627387774,O
0.035,O,-5.294135130841292e-05,O
0.04,O,-4.509178160813262e-05,O
0.045,O,-1.199855229732879e-05,O
0.05,O,-6.7009458736543824e-06,O
0.055,O,0.0,O
0.06,O,0.0,O
0.065,O,0.0,O
0.07,O,0.0,O
0.075,O,0.0,O
0.08,O,0.0,O
0.085,O,0.0,O
0.09,O,0.0,O
0.095,O,0.0,O
0.1,O,0.0,O
0.005,Treat all,0.001353658946958049,O
0.01,Treat all,-0.0036900094421987283,O
0.015,Treat all,-0.00878488258657537,O
0.02,Treat all,-0.013931744232425249,O
0.025,Treat all,-0.019131394202847943,O
0.03,Treat all,-0.02438464881214097,O
0.035,Treat all,-0.029692341293032897,O
0.04,Treat all,-0.03505532223726744,O
0.045,Treat all,-0.040474460050028,O
0.05,Treat all,-0.04595064141871236,O
0.055,Treat all,-0.05148477179658914,O
0.06,Treat all,-0.05707777590189014,O
0.065,Treat all,-0.06273059823291631,O
0.07,Treat all,-0.06844420359975996,O
0.075,Treat all,-0.07421957767327214,O
0.08,Treat all,-0.08005772755193125,O
0.085,Treat all,-0.08595968234729699,O
0.09,Treat all,-0.09192649378876565,O
0.095,Treat all,-0.09795923684837209,O
0.1,Treat all,-0.10405901038641861,O
0.005,Treat none,0.0,O
0.01,Treat none,0.0,O
0.015,Treat none,0.0,O
0.02,Treat none,0.0,O
0.025,Treat none,0.0,O
0.03,Treat none,0.0,O
0.035,Treat none,0.0,O
0.04,Treat none,0.0,O
0.045,Treat none,0.0,O
0.05,Treat none,0.0,O
0.055,Treat none,0.0,O
0.06,Treat none,0.0,O
0.065,Treat none,0.0,O
0.07,Treat none,0.0,O
0.075,Treat none,0.0,O
0.08,Treat none,0.0,O
0.085,Treat none,0.0,O
0.09,Treat none,0.0,O
0.095,Treat none,0.0,O
0.1,Treat none,0.0,O
0.005,O+S,0.0024171150482277916,O+S
0.01,O+S,0.0006689720095407847,O+S
0.015,O+S,-5.61095594613357e-05,O+S
0.02,O+S,-0.00011650323468286061,O+S
0.025,O+S,-8.780977952774333e-05,O+S
0.03,O+S,-8.859755755630664e-05,O+S
0.035,O+S,-3.0015376724218725e-05,O+S
0.04,O+S,-1.856720419158402e-05,O+S
0.045,O+S,-8.998914222996592e-06,O+S
0.05,O+S,-1.0051418810481574e-05,O+S
0.055,O+S,-7.4100406750992905e-06,O+S
0.06,O+S,0.0,O+S
0.065,O+S,0.0,O+S
0.07,O+S,0.0,O+S
0.075,O+S,0.0,O+S
0.08,O+S,0.0,O+S
0.085,O+S,0.0,O+S
0.09,O+S,0.0,O+S
0.095,O+S,0.0,O+S
0.1,O+S,0.0,O+S
0.005,Treat all,0.001353658946958049,O+S
0.01,Treat all,-0.0036900094421987283,O+S
0.015,Treat all,-0.00878488258657537,O+S
0.02,Treat all,-0.013931744232425249,O+S
0.025,Treat all,-0.019131394202847943,O+S
0.03,Treat all,-0.02438464881214097,O+S
0.035,Treat all,-0.029692341293032897,O+S
0.04,Treat all,-0.03505532223726744,O+S
0.045,Treat all,-0.040474460050028,O+S
0.05,Treat all,-0.04595064141871236,O+S
0.055,Treat all,-0.05148477179658914,O+S
0.06,Treat all,-0.05707777590189014,O+S
0.065,Treat all,-0.06273059823291631,O+S
0.07,Treat all,-0.06844420359975996,O+S
0.075,Treat all,-0.07421957767327214,O+S
0.08,Treat all,-0.08005772755193125,O+S
0.085,Treat all,-0.08595968234729699,O+S
0.09,Treat all,-0.09192649378876565,O+S
0.095,Treat all,-0.09795923684837209,O+S
0.1,Treat all,-0.10405901038641861,O+S
0.005,Treat none,0.0,O+S
0.01,Treat none,0.0,O+S
0.015,Treat none,0.0,O+S
0.02,Treat none,0.0,O+S
0.025,Treat none,0.0,O+S
0.03,Treat none,0.0,O+S
0.035,Treat none,0.0,O+S
0.04,Treat none,0.0,O+S
0.045,Treat none,0.0,O+S
0.05,Treat none,0.0,O+S
0.055,Treat none,0.0,O+S
0.06,Treat none,0.0,O+S
0.065,Treat none,0.0,O+S
0.07,Treat none,0.0,O+S
0.075,Treat none,0.0,O+S
0.08,Treat none,0.0,O+S
0.085,Treat none,0.0,O+S
0.09,Treat none,0.0,O+S
0.095,Treat none,0.0,O+S
