Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.118,0.971,0.679,0.680
O,0.1,0.202,0.961,0.426,0.894
O,0.15,0.269,0.958,0.355,0.939
O,0.2,0.359,0.953,0.244,0.973
O+Q,0.05,0.158,0.976,0.701,0.764
O+Q,0.1,0.276,0.970,0.552,0.908
O+Q,0.15,0.366,0.963,0.423,0.954
O+Q,0.2,0.475,0.961,0.376,0.974
S,0.05,0.134,0.972,0.662,0.730
S,0.1,0.197,0.961,0.431,0.889
S,0.15,0.266,0.954,0.271,0.953
S,0.2,0.301,0.950,0.182,0.973
O+S,0.05,0.142,0.976,0.711,0.730
O+S,0.1,0.214,0.965,0.492,0.886
O+S,0.15,0.285,0.957,0.333,0.947
O+S,0.2,0.354,0.954,0.253,0.971
O+Q+S,0.05,0.164,0.976,0.696,0.776
O+Q+S,0.1,0.280,0.970,0.556,0.910
O+Q+S,0.15,0.370,0.964,0.433,0.953
O+Q+S,0.2,0.463,0.961,0.370,0.973
