Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.007,0.998,0.454,0.799
O,0.01,0.046,0.998,0.273,0.982
O,0.02,0.000,0.997,0.000,1.000
O,0.05,--,0.997,0.000,1.000
O+Q,0.005,0.007,0.998,0.455,0.788
O+Q,0.01,0.034,0.998,0.455,0.958
O+Q,0.02,0.086,0.997,0.182,0.994
O+Q,0.05,--,0.997,0.000,1.000
S,0.005,0.003,0.997,0.091,0.892
S,0.01,0.000,0.997,0.000,0.987
S,0.02,0.000,0.997,0.000,0.999
S,0.05,--,0.997,0.000,1.000
O+S,0.005,0.009,0.998,0.455,0.827
O+S,0.01,0.014,0.997,0.090,0.979
O+S,0.02,0.000,0.997,0.000,0.997
O+S,0.05,--,0.997,0.000,1.000
O+Q+S,0.005,0.007,0.998,0.455,0.801
O+Q+S,0.01,0.018,0.997,0.182,0.967
O+Q+S,0.02,0.000,0.997,0.000,0.996
O+Q+S,0.05,--,0.997,0.000,1.000
