Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.011,0.999,0.603,0.917
O,0.01,--,0.999,0.000,1.000
O,0.02,--,0.999,0.000,1.000
O,0.05,--,0.999,0.000,1.000
O+Q,0.005,0.004,0.999,0.202,0.929
O+Q,0.01,0.000,0.999,0.000,0.999
O+Q,0.02,--,0.999,0.000,1.000
O+Q,0.05,--,0.999,0.000,1.000
S,0.005,0.000,0.999,0.000,0.989
S,0.01,--,0.999,0.000,1.000
S,0.02,--,0.999,0.000,1.000
S,0.05,--,0.999,0.000,1.000
O+S,0.005,0.005,0.999,0.202,0.945
O+S,0.01,--,0.999,0.000,1.000
O+S,0.02,--,0.999,0.000,1.000
O+S,0.05,--,0.999,0.000,1.000
O+Q+S,0.005,0.009,0.999,0.404,0.935
O+Q+S,0.01,0.000,0.999,0.000,1.000
O+Q+S,0.02,--,0.999,0.000,1.000
O+Q+S,0.05,--,0.999,0.000,1.000
