Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.045,0.958,0.561,0.456
O,0.1,--,0.956,0.000,1.000
O,0.15,--,0.956,0.000,1.000
O,0.2,--,0.956,0.000,1.000
O+Q,0.05,0.048,0.961,0.590,0.467
O+Q,0.1,0.425,0.957,0.007,1.000
O+Q,0.15,--,0.956,0.000,1.000
O+Q,0.2,--,0.956,0.000,1.000
S,0.05,0.044,0.957,0.602,0.408
S,0.1,0.000,0.956,0.000,0.998
S,0.15,--,0.956,0.000,1.000
S,0.2,--,0.956,0.000,1.000
O+S,0.05,0.047,0.960,0.597,0.446
O+S,0.1,0.000,0.956,0.000,0.998
O+S,0.15,--,0.956,0.000,1.000
O+S,0.2,--,0.956,0.000,1.000
O+Q+S,0.05,0.067,0.990,0.908,0.421
O+Q+S,0.1,0.110,0.965,0.281,0.895
O+Q+S,0.15,0.111,0.957,0.022,0.992
O+Q+S,0.2,0.000,0.956,0.000,0.999
