Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.014,--,1.000,0.000
O,0.01,0.017,0.988,0.578,0.515
O,0.02,0.032,0.989,0.359,0.845
O,0.05,--,0.986,0.000,1.000
O+Q,0.005,0.015,0.992,0.926,0.125
O+Q,0.01,0.017,0.988,0.495,0.601
O+Q,0.02,0.025,0.988,0.257,0.855
O+Q,0.05,0.000,0.986,0.000,0.997
S,0.005,0.014,--,1.000,0.000
S,0.01,0.016,0.989,0.747,0.328
S,0.02,0.023,0.987,0.099,0.940
S,0.05,0.000,0.986,0.000,0.998
O+S,0.005,0.014,--,1.000,0.000
O+S,0.01,0.020,0.991,0.676,0.527
O+S,0.02,0.033,0.989,0.306,0.871
O+S,0.05,0.000,0.986,0.000,1.000
O+Q+S,0.005,0.014,--,1.000,0.000
O+Q+S,0.01,0.020,0.991,0.653,0.543
O+Q+S,0.02,0.024,0.988,0.238,0.864
O+Q+S,0.05,--,0.986,0.000,1.000
